# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
3.0058E-01    2.9216E-03    2.9190E-03    2.9239E-03    2.9246E-03    2.8851E-03
3.0179E-01    2.9214E-03    2.9187E-03    2.9237E-03    2.9244E-03    2.8850E-03
3.0299E-01    2.9211E-03    2.9185E-03    2.9234E-03    2.9241E-03    2.8849E-03
3.0421E-01    2.9209E-03    2.9183E-03    2.9232E-03    2.9239E-03    2.8848E-03
3.0542E-01    2.9206E-03    2.9180E-03    2.9229E-03    2.9236E-03    2.8846E-03
3.0664E-01    2.9204E-03    2.9178E-03    2.9227E-03    2.9234E-03    2.8845E-03
3.0787E-01    2.9201E-03    2.9176E-03    2.9224E-03    2.9231E-03    2.8844E-03
3.0910E-01    2.9199E-03    2.9173E-03    2.9222E-03    2.9229E-03    2.8842E-03
3.1034E-01    2.9197E-03    2.9171E-03    2.9219E-03    2.9226E-03    2.8841E-03
3.1158E-01    2.9194E-03    2.9168E-03    2.9217E-03    2.9224E-03    2.8840E-03
3.1282E-01    2.9192E-03    2.9166E-03    2.9214E-03    2.9221E-03    2.8838E-03
3.1407E-01    2.9189E-03    2.9164E-03    2.9212E-03    2.9219E-03    2.8837E-03
3.1533E-01    2.9187E-03    2.9161E-03    2.9209E-03    2.9216E-03    2.8836E-03
3.1659E-01    2.9184E-03    2.9159E-03    2.9206E-03    2.9214E-03    2.8835E-03
3.1786E-01    2.9182E-03    2.9156E-03    2.9204E-03    2.9211E-03    2.8833E-03
3.1913E-01    2.9179E-03    2.9154E-03    2.9201E-03    2.9208E-03    2.8832E-03
3.2040E-01    2.9177E-03    2.9152E-03    2.9199E-03    2.9206E-03    2.8831E-03
3.2168E-01    2.9174E-03    2.9149E-03    2.9196E-03    2.9203E-03    2.8829E-03
3.2297E-01    2.9172E-03    2.9147E-03    2.9194E-03    2.9201E-03    2.8828E-03
3.2426E-01    2.9169E-03    2.9145E-03    2.9191E-03    2.9198E-03    2.8827E-03
3.2556E-01    2.9167E-03    2.9142E-03    2.9189E-03    2.9196E-03    2.8825E-03
3.2686E-01    2.9164E-03    2.9140E-03    2.9186E-03    2.9193E-03    2.8824E-03
3.2817E-01    2.9162E-03    2.9137E-03    2.9183E-03    2.9191E-03    2.8823E-03
3.2948E-01    2.9159E-03    2.9135E-03    2.9181E-03    2.9188E-03    2.8821E-03
3.3080E-01    2.9157E-03    2.9132E-03    2.9178E-03    2.9185E-03    2.8820E-03
3.3212E-01    2.9154E-03    2.9130E-03    2.9176E-03    2.9183E-03    2.8819E-03
3.3345E-01    2.9152E-03    2.9128E-03    2.9173E-03    2.9180E-03    2.8817E-03
3.3478E-01    2.9149E-03    2.9125E-03    2.9171E-03    2.9178E-03    2.8816E-03
3.3612E-01    2.9147E-03    2.9123E-03    2.9168E-03    2.9175E-03    2.8815E-03
3.3746E-01    2.9144E-03    2.9120E-03    2.9165E-03    2.9173E-03    2.8813E-03
3.3881E-01    2.9142E-03    2.9118E-03    2.9163E-03    2.9170E-03    2.8812E-03
3.4017E-01    2.9139E-03    2.9116E-03    2.9160E-03    2.9167E-03    2.8811E-03
3.4153E-01    2.9136E-03    2.9113E-03    2.9158E-03    2.9165E-03    2.8809E-03
3.4289E-01    2.9134E-03    2.9111E-03    2.9155E-03    2.9162E-03    2.8808E-03
3.4427E-01    2.9131E-03    2.9108E-03    2.9152E-03    2.9160E-03    2.8807E-03
3.4564E-01    2.9129E-03    2.9106E-03    2.9150E-03    2.9157E-03    2.8805E-03
3.4702E-01    2.9126E-03    2.9103E-03    2.9147E-03    2.9154E-03    2.8804E-03
3.4841E-01    2.9124E-03    2.9101E-03    2.9145E-03    2.9152E-03    2.8803E-03
3.4981E-01    2.9121E-03    2.9098E-03    2.9142E-03    2.9149E-03    2.8801E-03
3.5120E-01    2.9119E-03    2.9096E-03    2.9139E-03    2.9147E-03    2.8800E-03
3.5261E-01    2.9116E-03    2.9094E-03    2.9137E-03    2.9144E-03    2.8798E-03
3.5402E-01    2.9114E-03    2.9091E-03    2.9134E-03    2.9141E-03    2.8797E-03
3.5543E-01    2.9111E-03    2.9089E-03    2.9132E-03    2.9139E-03    2.8796E-03
3.5686E-01    2.9109E-03    2.9086E-03    2.9129E-03    2.9136E-03    2.8794E-03
