name,pRT_name,mass,color,mathtext_name,C,O,H,N,S
CO,CO_12_HITEMP,28.009999999999998,,$^{12}$CO,1,1,0,0,0
H2O,H2O_Exomol,18.014680000000002,,H$_2$O,0,1,2,0,0
OH,OH,17.00684,,0,1,1,0,0
CH4,CH4,16.04236,,CH$_4$,1,0,4,0,0
NH3,NH3,17.03022,,NH$_3$,0,0,3,1,0
HCN,HCN,27.02554,,HCN,1,0,1,1,0
CO2,CO2,44.009,,CO$_2$,1,2,0,0,0
H2,H2,2.01568,,H$_2$,0,0,2,0,0
He,He,4.002602,,He,0,0,0,0,0
C2H2,C2H2,26.03728,,C$_2$H$_2$,2,0,2,0,0
H2S,H2S,34.08068,,H$_2$S,0,0,2,0,1
CH3Cl,CH3Cl,50.4875,,CH$_3$Cl,1,0,3,0,0
SO2,SO2,64.0638,SO$_2$,0,2,0,0,1
OCS,OCS,60.0751,OCS,1,1,0,0,1
